"artist","l1","l2","l3"
magazine 60,magazine 60,magazine 60,magazine 60
maggie bell,maggie bell,maggie bell,maggie bell
magic lanterns,magic lanterns,magic lanterns,magic lanterns
magic!,magic!,magic!,magic
magoo,magoo,magoo,magoo
mahalia jackson,mahalia jackson,mahalia jackson,mahalia jackson
mai tai,mai tai,mai tai,mai tai
maino,maino,maino,maino
major harris,major harris,major harris,major harris
major lance,major lance,major lance,major lance
major lazer,major lazer,major lazer,major lazer
malcolm todd,malcolm todd,malcolm todd,malcolm todd
malo,malo,malo,malo
maluma,maluma,maluma,maluma
mama cass,mama cass,mama cass,mama cass
mama cass elliot,mama cass elliot,mama cass elliot,mama cass elliot
mana,mana,mana,mana
maneskin,maneskin,maneskin,maneskin
manfred mann,manfred mann,manfred mann,manfred mann
manfred mann's earth b,manfred mann's earth b,manfred manns earth b,manfred manns earth b
mann,mann,mann,mann
mannie fresh,mannie fresh,mannie fresh,mannie fresh
manny kellem - his orchestra,manny kellem - his orchestra,manny kellem - his orchestra,manny kellem his orchestra
mantovani,mantovani,mantovani,mantovani
mantroni,mantroni,mantroni,mantroni
manu dibango,manu dibango,manu dibango,manu dibango
manuel turizo,manuel turizo,manuel turizo,manuel turizo
mar-keys,mar-keys,mar-keys,mar keys
marc almond,marc almond,marc almond,marc almond
marc anthony,marc anthony,marc anthony,marc anthony
marc cohn,marc cohn,marc cohn,marc cohn
marc e. bassy,marc e. bassy,marc e. bassy,marc e bassy
marc nelson,marc nelson,marc nelson,marc nelson
marcia griffiths,marcia griffiths,marcia griffiths,marcia griffiths
marcie blane,marcie blane,marcie blane,marcie blane
marcos hern,marcos hern,marcos hern,marcos hern
marcy joe,marcy joe,marcy joe,marcy joe
marcy levy,marcy levy,marcy levy,marcy levy
marcy playground,marcy playground,marcy playground,marcy playground
maren morris,maren morris,maren morris,maren morris
margaret whiting,margaret whiting,margaret whiting,margaret whiting
margie joseph,margie joseph,margie joseph,margie joseph
maria mena,maria mena,maria mena,maria mena
maria muldaur,maria muldaur,maria muldaur,maria muldaur
maria vidal,maria vidal,maria vidal,maria vidal
mariah carey,mariah carey,mariah carey,mariah carey
mariah the scientist,mariah the scientist,mariah the scientist,mariah the scientist
marian hill,marian hill,marian hill,marian hill
marianne faithfull,marianne faithfull,marianne faithfull,marianne faithfull
marie,marie,marie,marie
marie osmond,marie osmond,marie osmond,marie osmond
marillion,marillion,marillion,marillion
marilyn martin,marilyn martin,marilyn martin,marilyn martin
marilyn mccoo,marilyn mccoo,marilyn mccoo,marilyn mccoo
marilyn scott,marilyn scott,marilyn scott,marilyn scott
marilyn sellars,marilyn sellars,marilyn sellars,marilyn sellars
mario,mario,mario,mario
mario vazquez,mario vazquez,mario vazquez,mario vazquez
mario winans,mario winans,mario winans,mario winans
marion worth,marion worth,marion worth,marion worth
mark ambor,mark ambor,mark ambor,mark ambor
mark chesnutt,mark chesnutt,mark chesnutt,mark chesnutt
mark dinning,mark dinning,mark dinning,mark dinning
mark lindsay,mark lindsay,mark lindsay,mark lindsay
mark mcguinn,mark mcguinn,mark mcguinn,mark mcguinn
mark morrison,mark morrison,mark morrison,mark morrison
mark ronson,mark ronson,mark ronson,mark ronson
mark valentino,mark valentino,mark valentino,mark valentino
mark wills,mark wills,mark wills,mark wills
mark-almond,mark-almond,mark-almond,mark almond
marky mark,marky mark,marky mark,marky mark
marlena shaw,marlena shaw,marlena shaw,marlena shaw
marlowe morris quintet,marlowe morris quintet,marlowe morris quintet,marlowe morris quintet
marmalade,marmalade,marmalade,marmalade
maroon 5,maroon 5,maroon 5,maroon 5
marques houston,marques houston,marques houston,marques houston
marsha ambrosius,marsha ambrosius,marsha ambrosius,marsha ambrosius
marshall crenshaw,marshall crenshaw,marshall crenshaw,marshall crenshaw
marshall hain,marshall hain,marshall hain,marshall hain
marshmello,marshmello,marshmello,marshmello
martha,martha,martha,martha
martha davis,martha davis,martha davis,martha davis
martha reeves,martha reeves,martha reeves,martha reeves
martha wash,martha wash,martha wash,martha wash
martika,martika,martika,martika
martin briley,martin briley,martin briley,martin briley
martin denny,martin denny,martin denny,martin denny
martin garri,martin garri,martin garri,martin garri
martin mull,martin mull,martin mull,martin mull
martin page,martin page,martin page,martin page
martin solveig,martin solveig,martin solveig,martin solveig
martina mcbride,martina mcbride,martina mcbride,martina mcbride
marty balin,marty balin,marty balin,marty balin
marty robbins,marty robbins,marty robbins,marty robbins
marty wilde,marty wilde,marty wilde,marty wilde
marv johnson,marv johnson,marv johnson,marv johnson
marva whitney,marva whitney,marva whitney,marva whitney
marvin gaye,marvin gaye,marvin gaye,marvin gaye
marvin hamlisch/the sting,marvin hamlisch/the sting,marvin hamlisch/the sting,marvin hamlisch the sting
marvin rainwater,marvin rainwater,marvin rainwater,marvin rainwater
marvin sapp,marvin sapp,marvin sapp,marvin sapp
mary ann fisher,mary ann fisher,mary ann fisher,mary ann fisher
mary chapin carpenter,mary chapin carpenter,mary chapin carpenter,mary chapin carpenter
mary hopkin,mary hopkin,mary hopkin,mary hopkin
mary j. blige,mary j. blige,mary j. blige,mary j blige
mary jane girls,mary jane girls,mary jane girls,mary jane girls
mary kay place as loretta haggers,mary kay place as loretta haggers,mary kay place as loretta haggers,mary kay place as loretta haggers
mary lambert,mary lambert,mary lambert,mary lambert
mary macgregor,mary macgregor,mary macgregor,mary macgregor
mary mary,mary mary,mary mary,mary mary
mary travers,mary travers,mary travers,mary travers
mary wells,mary wells,mary wells,mary wells
mase,mase,mase,mase
mashmakhan,mashmakhan,mashmakhan,mashmakhan
masked wolf,masked wolf,masked wolf,masked wolf
mason ramsey,mason ramsey,mason ramsey,mason ramsey
mason williams,mason williams,mason williams,mason williams
mass production,mass production,mass production,mass production
masta ace incorporated,masta ace incorporated,masta ace incorporated,masta ace incorporated
master p,master p,master p,master p
mat kearney,mat kearney,mat kearney,mat kearney
matchbo,matchbo,matchbo,matchbo
matisyahu,matisyahu,matisyahu,matisyahu
matt,matt,matt,matt
matt lucas,matt lucas,matt lucas,matt lucas
matt mc,matt mc,matt mc,matt mc
matt monro,matt monro,matt monro,matt monro
matt nathanson,matt nathanson,matt nathanson,matt nathanson
matt stell,matt stell,matt stell,matt stell
matthew schuler,matthew schuler,matthew schuler,matthew schuler
matthew sweet,matthew sweet,matthew sweet,matthew sweet
matthew wilder,matthew wilder,matthew wilder,matthew wilder
matthews' southern comfort,matthews' southern comfort,matthews southern comfort,matthews southern comfort
maureen gray,maureen gray,maureen gray,maureen gray
maureen mcgovern,maureen mcgovern,maureen mcgovern,maureen mcgovern
maureen steele,maureen steele,maureen steele,maureen steele
maurice white,maurice white,maurice white,maurice white
maurice williams,maurice williams,maurice williams,maurice williams
mavis staples,mavis staples,mavis staples,mavis staples
maynard ferguson,maynard ferguson,maynard ferguson,maynard ferguson
maze,maze,maze,maze
mazzy star,mazzy star,mazzy star,mazzy star
mc eiht,mc eiht,mc eiht,mc eiht
mc luscious,mc luscious,mc luscious,mc luscious
mc lyte,mc lyte,mc lyte,mc lyte
mc nas-d,mc nas-d,mc nas-d,mc nas d
mc ren,mc ren,mc ren,mc ren
mc serch,mc serch,mc serch,mc serch
mc skat kat,mc skat kat,mc skat kat,mc skat kat
mc5,mc5,mc5,mc5
mcauley schenker group,mcauley schenker group,mcauley schenker group,mcauley schenker group
mcfadden,mcfadden,mcfadden,mcfadden
mcguffey lane,mcguffey lane,mcguffey lane,mcguffey lane
mcguinn,mcguinn,mcguinn,mcguinn
mcguinness flint,mcguinness flint,mcguinness flint,mcguinness flint
mckinley travis,mckinley travis,mckinley travis,mckinley travis
me phi me,me phi me,me phi me,me phi me
meat loaf,meat loaf,meat loaf,meat loaf
meat puppets,meat puppets,meat puppets,meat puppets
meco,meco,meco,meco
meek mill,meek mill,meek mill,meek mill
megadeth,megadeth,megadeth,megadeth
megan moroney,megan moroney,megan moroney,megan moroney
megan thee stallion,megan thee stallion,megan thee stallion,megan thee stallion
meghan linsey,meghan linsey,meghan linsey,meghan linsey
meghan trainor,meghan trainor,meghan trainor,meghan trainor
mel,mel,mel,mel
mel carter,mel carter,mel carter,mel carter
mel gadson,mel gadson,mel gadson,mel gadson
mel torme,mel torme,mel torme,mel torme
melanie,melanie,melanie,melanie
melanie fiona,melanie fiona,melanie fiona,melanie fiona
melanie martinez,melanie martinez,melanie martinez,melanie martinez
melba montgomery,melba montgomery,melba montgomery,melba montgomery
melba moore,melba moore,melba moore,melba moore
meli'sa morgan,meli'sa morgan,melisa morgan,melisa morgan
melissa etheridge,melissa etheridge,melissa etheridge,melissa etheridge
melissa lawson,melissa lawson,melissa lawson,melissa lawson
melissa manchester,melissa manchester,melissa manchester,melissa manchester
mello-kings,mello-kings,mello-kings,mello kings
mellow man ace,mellow man ace,mellow man ace,mellow man ace
memphis bleek,memphis bleek,memphis bleek,memphis bleek
memphis bleek (,memphis bleek (,memphis bleek (,memphis bleek
men,men,men,men
men at large,men at large,men at large,men at large
men at work,men at work,men at work,men at work
men of vizion,men of vizion,men of vizion,men of vizion
menudo,menudo,menudo,menudo
mercedes,mercedes,mercedes,mercedes
mercy,mercy,mercy,mercy
mercyme,mercyme,mercyme,mercyme
meredith brooks,meredith brooks,meredith brooks,meredith brooks
meri wilson,meri wilson,meri wilson,meri wilson
merle haggard,merle haggard,merle haggard,merle haggard
merril bainbridge,merril bainbridge,merril bainbridge,merril bainbridge
merrilee rush,merrilee rush,merrilee rush,merrilee rush
merry clayton,merry clayton,merry clayton,merry clayton
merv griffin,merv griffin,merv griffin,merv griffin
meryl streep,meryl streep,meryl streep,meryl streep
mesa,mesa,mesa,mesa
meshell ndegeocello,meshell ndegeocello,meshell ndegeocello,meshell ndegeocello
messengers,messengers,messengers,messengers
metallica,metallica,metallica,metallica
method man,method man,method man,method man
metro boomin,metro boomin,metro boomin,metro boomin
metro station,metro station,metro station,metro station
mfsb,mfsb,mfsb,mfsb
mgk,mgk,mgk,mgk
mgmt,mgmt,mgmt,mgmt
mia,mia,mia,mia
miami sound machine,miami sound machine,miami sound machine,miami sound machine
mic geronimo,mic geronimo,mic geronimo,mic geronimo
mica paris,mica paris,mica paris,mica paris
michael bolton,michael bolton,michael bolton,michael bolton
michael buble,michael buble,michael buble,michael buble
michael cera,michael cera,michael cera,michael cera
michael cooper,michael cooper,michael cooper,michael cooper
michael damian,michael damian,michael damian,michael damian
michael franks,michael franks,michael franks,michael franks
michael franti,michael franti,michael franti,michael franti
michael gore,michael gore,michael gore,michael gore
michael henderson,michael henderson,michael henderson,michael henderson
michael holm,michael holm,michael holm,michael holm
michael jackson,michael jackson,michael jackson,michael jackson
michael jackson duet,michael jackson duet,michael jackson duet,michael jackson duet
michael johnson,michael johnson,michael johnson,michael johnson
michael marcagi,michael marcagi,michael marcagi,michael marcagi
michael mcdonald,michael mcdonald,michael mcdonald,michael mcdonald
michael morales,michael morales,michael morales,michael morales
michael murphey,michael murphey,michael murphey,michael murphey
michael nesmith,michael nesmith,michael nesmith,michael nesmith
michael parks,michael parks,michael parks,michael parks
michael penn,michael penn,michael penn,michael penn
michael peterson,michael peterson,michael peterson,michael peterson
michael ray,michael ray,michael ray,michael ray
michael redway,michael redway,michael redway,michael redway
michael sembello,michael sembello,michael sembello,michael sembello
michael stanley b,michael stanley b,michael stanley b,michael stanley b
michael stipe,michael stipe,michael stipe,michael stipe
michael w. smith,michael w. smith,michael w. smith,michael w smith
michael zager's moon b,michael zager's moon b,michael zagers moon b,michael zagers moon b
michel legr,michel legr,michel legr,michel legr
michel polnareff,michel polnareff,michel polnareff,michel polnareff
michel telo,michel telo,michel telo,michel telo
michel'le,michel'le,michelle,michelle
michele lee,michele lee,michele lee,michele lee
michelle branch,michelle branch,michelle branch,michelle branch
michelle chamuel,michelle chamuel,michelle chamuel,michelle chamuel
michelle shocked,michelle shocked,michelle shocked,michelle shocked
mick jackson,mick jackson,mick jackson,mick jackson
mick jagger,mick jagger,mick jagger,mick jagger
mickey,mickey,mickey,mickey
mickey gilley,mickey gilley,mickey gilley,mickey gilley
mickey lee lane,mickey lee lane,mickey lee lane,mickey lee lane
mickey murray,mickey murray,mickey murray,mickey murray
mickey newbury,mickey newbury,mickey newbury,mickey newbury
mickey shorr,mickey shorr,mickey shorr,mickey shorr
micky dolenz,micky dolenz,micky dolenz,micky dolenz
midge ure,midge ure,midge ure,midge ure
midi ma,midi ma,midi ma,midi ma
midl,midl,midl,midl
midnight oil,midnight oil,midnight oil,midnight oil
midnight star,midnight star,midnight star,midnight star
mighty clouds of joy,mighty clouds of joy,mighty clouds of joy,mighty clouds of joy
migos,migos,migos,migos
miguel,miguel,miguel,miguel
miguel rios,miguel rios,miguel rios,miguel rios
mika,mika,mika,mika
mikaila,mikaila,mikaila,mikaila
mike + the mechanics,mike + the mechanics,mike + the mechanics,mike the mechanics
mike clifford,mike clifford,mike clifford,mike clifford
mike douglas,mike douglas,mike douglas,mike douglas
mike jones,mike jones,mike jones,mike jones
mike kennedy,mike kennedy,mike kennedy,mike kennedy
mike oldfield,mike oldfield,mike oldfield,mike oldfield
mike pinera,mike pinera,mike pinera,mike pinera
mike posner,mike posner,mike posner,mike posner
mike post,mike post,mike post,mike post
mike preston,mike preston,mike preston,mike preston
mike reilly,mike reilly,mike reilly,mike reilly
mike reno,mike reno,mike reno,mike reno
mike sharpe,mike sharpe,mike sharpe,mike sharpe
mike will made-it,mike will made-it,mike will made-it,mike will made it
mike williams,mike williams,mike williams,mike williams
miki howard,miki howard,miki howard,miki howard
milestone,milestone,milestone,milestone
miley cyrus,miley cyrus,miley cyrus,miley cyrus
militia,militia,militia,militia
milky chance,milky chance,milky chance,milky chance
milli vanilli,milli vanilli,milli vanilli,milli vanilli
millie jackson,millie jackson,millie jackson,millie jackson
millie small,millie small,millie small,millie small
millions like us,millions like us,millions like us,millions like us
mims,mims,mims,mims
mina,mina,mina,mina
mindless behavior,mindless behavior,mindless behavior,mindless behavior
mindy mccready,mindy mccready,mindy mccready,mindy mccready
mink de ville,mink de ville,mink de ville,mink de ville
minnie riperton,minnie riperton,minnie riperton,minnie riperton
minor detail,minor detail,minor detail,minor detail
mint condition,mint condition,mint condition,mint condition
mir,mir,mir,mir
miriam makeba,miriam makeba,miriam makeba,miriam makeba
mis-teeq,mis-teeq,mis-teeq,mis teeq
misiing persons,misiing persons,misiing persons,misiing persons
miss abrams,miss abrams,miss abrams,miss abrams
miss toni fisher,miss toni fisher,miss toni fisher,miss toni fisher
missing persons,missing persons,missing persons,missing persons
missjones,missjones,missjones,missjones
missy elliott,missy elliott,missy elliott,missy elliott
missy misdemeanor elliott,missy misdemeanor elliott,missy misdemeanor elliott,missy misdemeanor elliott
mista,mista,mista,mista
mista grimm,mista grimm,mista grimm,mista grimm
mistress,mistress,mistress,mistress
mitch malloy,mitch malloy,mitch malloy,mitch malloy
mitch miller,mitch miller,mitch miller,mitch miller
mitch ryder,mitch ryder,mitch ryder,mitch ryder
mitchel musso,mitchel musso,mitchel musso,mitchel musso
mitchell tenpenny,mitchell tenpenny,mitchell tenpenny,mitchell tenpenny
mitchell torok,mitchell torok,mitchell torok,mitchell torok
mitski,mitski,mitski,mitski
mitty collier,mitty collier,mitty collier,mitty collier
mkto,mkto,mkto,mkto
mo thugs family,mo thugs family,mo thugs family,mo thugs family
mo3,mo3,mo3,mo3
mobb deep,mobb deep,mobb deep,mobb deep
moby,moby,moby,moby
moby grape,moby grape,moby grape,moby grape
mocca soul,mocca soul,mocca soul,mocca soul
mocedades,mocedades,mocedades,mocedades
models,models,models,models
modern english,modern english,modern english,modern english
modest mouse,modest mouse,modest mouse,modest mouse
modjo,modjo,modjo,modjo
mokenstef,mokenstef,mokenstef,mokenstef
moliy,moliy,moliy,moliy
