artist,l1,l2,l3,matched_name,spotify_artist_id,genres_raw,source,matched_from,last_chart_year,genre_main
shakira featuring rihanna,shakira,shakira,shakira,Shakira,0EmeFodog0BfCgMzAIvKQp,latin pop,spotify,l1,2014,Pop
shakira featuring wyclef jean,shakira,shakira,shakira,Shakira,0EmeFodog0BfCgMzAIvKQp,latin pop,spotify,l1,2006,Pop
shakira x fuerza regida,shakira x fuerza regida,shakira,shakira,Shakira,0EmeFodog0BfCgMzAIvKQp,latin pop,spotify,l2,2023,Pop
shalamar,shalamar,shalamar,shalamar,Shalamar,3REpOYo13YkVj1dFzda12A,post-disco;disco;funk,spotify,artist,1985,RnB
shamus m'cool,shamus m'cool,shamus m'cool,shamus mcool,,,,none,,1981,
shana,shana,shana,shana,Shana,5CXOHLCaT1T30cBkpBB9CO,funk melody;freestyle;miami bass,spotify,artist,1990,RnB
shane minor,shane minor,shane minor,shane minor,Shane Minor,1QheZc3qNofzVJzUD92jyZ,traditional country,spotify,artist,1999,Country
shango,shango,shango,shango,Shango,6Z9QjuXJ7r60HjTIhMlcmA,zouk,spotify,artist,1969,
shania twain,shania twain,shania twain,shania twain,Shania Twain,5e4Dhzv426EvQe3aDb64jL,country,spotify,artist,2011,Country
shania twain with billy currington or mark mcgrath,shania twain with billy currington or mark mcgrath,shania twain,shania twain,Shania Twain,5e4Dhzv426EvQe3aDb64jL,country,spotify,l2,2005,Country
shanice,shanice,shanice,shanice,Shanice,0Ttph0pOZiPNTD3y2wUUb6,new jack swing,spotify,artist,1999,RnB
shanice wilson,shanice wilson,shanice wilson,shanice wilson,Shanice Wilson,6bdynXw42zLZpIS5NTMot6,new jack swing,spotify,artist,1988,RnB
shannon,shannon,shannon,shannon,Shannon,2O8QAJmRrwkFXq2aWZnHYB,freestyle;hi-nrg;post-disco,spotify,artist,1985,
shaquille o'neal,shaquille o'neal,shaquille o'neal,shaquille oneal,,,hip hop,musicbrainz,,1995,HipHop
"shaquille o'neal, ice cube, b real, peter gunz & krs-one","shaquille o'neal, ice cube, b real, peter gunz & krs-one",shaquille o'neal,shaquille oneal,,,,none,,1997,
shareefa featuring ludacris,shareefa,shareefa,shareefa,Shareefa,6PCMMSSuTf9iCVVxYru5XI,r&b,musicbrainz,l1,2006,RnB
sharissa,sharissa,sharissa,sharissa,Sharissa,7MpFA6htW2SzASIffy6jz2,,none,artist,2002,
sharon bryant,sharon bryant,sharon bryant,sharon bryant,Sharon Bryant,5spZuyRUAg98WfNBVmuEbu,quiet storm,spotify,artist,1990,RnB
sharon paige and harold melvin and the blue notes,sharon paige and harold melvin and the blue notes,sharon paige,sharon paige,Sharon Paige,112QjqKDa4MQbs0FhOAgNk,philly soul;northern soul;soul blues,spotify,l2,1975,RnB
sharpees,sharpees,sharpees,sharpees,,,,none,,1966,
shaun cassidy,shaun cassidy,shaun cassidy,shaun cassidy,Shaun Cassidy,6XJ5IHDtW2OkjtwVllkANt,,none,artist,1978,
shawn christopher,shawn christopher,shawn christopher,shawn christopher,Shawn Christopher,3TONYCzAeoUCwR3i1nAQwB,chicago house,spotify,artist,1992,Electronic
shawn colvin,shawn colvin,shawn colvin,shawn colvin,Shawn Colvin,0K7VN4aHxHcEb7PqkfoIVA,folk;rock;contemporary folk,musicbrainz,artist,1998,Rock
shawn mendes,shawn mendes,shawn mendes,shawn mendes,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,pop;folk pop;pop rock;pop soul;teen pop,musicbrainz,artist,2024,Rock
